cryojet_current_temp[K],Setpoint[K],T1[K],Time[h-m-s]
500.24,500.0,477.15,13-12-30
500.16,500.0,477.65,13-12-41
500.09000000000003,500.0,478.04999389648435,13-12-52
500.07,500.0,478.54999389648435,13-13-04
500.04,500.0,478.84999694824216,13-13-15
500.02000000000004,500.0,479.2500061035156,13-13-26
500.0,500.0,479.54999389648435,13-13-37
500.02000000000004,500.0,479.84999694824216,13-13-48
500.05,500.0,480.15,13-14-00
500.0,500.0,480.4500030517578,13-14-11
500.03000000000003,500.0,480.7500061035156,13-14-22
500.06,500.0,480.9500030517578,13-14-33
500.01,500.0,481.15,13-14-44
500.02000000000004,500.0,481.34999694824216,13-14-56
500.03000000000003,500.0,481.54999389648435,13-15-07
500.03000000000003,500.0,481.7500061035156,13-15-18
499.96000000000004,500.0,481.9500030517578,13-15-29
500.04,500.0,482.15,13-15-41
500.0,500.0,482.2500061035156,13-15-52
499.96000000000004,500.0,482.4500030517578,13-16-03
500.01,500.0,482.54999389648435,13-16-14
500.01,500.0,482.65,13-16-25
499.95,500.0,482.7500061035156,13-16-37
